﻿Turnier;Saison;Liga;Runde;Heimteam;Gastteam;MP Heim;MP Gast;EP Heim;EP Gast
SMM;2026;3. Liga - Nordwest 2;1;Echiquier Bruntrutain 2;Court 3;"=""2""";"=""0""";"=""3.5""";"=""2.5"""
SMM;2026;3. Liga - Nordwest 2;1;Birseck 3;Riehen 5;"=""2""";"=""0""";"=""4""";"=""2"""
SMM;2026;3. Liga - Nordwest 2;1;Olten 3;Olten 4;"=""1""";"=""1""";"=""3""";"=""3"""
SMM;2026;3. Liga - Nordwest 2;1;Rhy 1;Freilos;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;2;Riehen 5;Olten 3;"=""1""";"=""1""";"=""3""";"=""3"""
SMM;2026;3. Liga - Nordwest 2;2;Echiquier Bruntrutain 2;Olten 4;"=""2""";"=""0""";"=""6""";"=""0"""
SMM;2026;3. Liga - Nordwest 2;2;Rhy 1;Birseck 3;"=""0""";"=""2""";"=""2.5""";"=""3.5"""
SMM;2026;3. Liga - Nordwest 2;2;Court 3;Freilos;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;3;Echiquier Bruntrutain 2;Rhy 1;"=""2""";"=""0""";"=""5""";"=""1"""
SMM;2026;3. Liga - Nordwest 2;3;Court 3;Olten 3;"=""0""";"=""2""";"=""2.5""";"=""3.5"""
SMM;2026;3. Liga - Nordwest 2;3;Riehen 5;Olten 4;"=""0""";"=""2""";"=""2.5""";"=""3.5"""
SMM;2026;3. Liga - Nordwest 2;3;Birseck 3;Freilos;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;4;Birseck 3;Olten 3;"=""0""";"=""2""";"=""2""";"=""4"""
SMM;2026;3. Liga - Nordwest 2;4;Rhy 1;Court 3;"=""2""";"=""0""";"=""4""";"=""2"""
SMM;2026;3. Liga - Nordwest 2;4;Riehen 5;Echiquier Bruntrutain 2;"=""1""";"=""1""";"=""3""";"=""3"""
SMM;2026;3. Liga - Nordwest 2;4;Olten 4;Freilos;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;5;Olten 3;Rhy 1;"=""2""";"=""0""";"=""3.5""";"=""2.5"""
SMM;2026;3. Liga - Nordwest 2;5;Olten 4;Birseck 3;"=""2""";"=""0""";"=""4""";"=""2"""
SMM;2026;3. Liga - Nordwest 2;5;Court 3;Riehen 5;"=""0""";"=""2""";"=""2""";"=""4"""
SMM;2026;3. Liga - Nordwest 2;5;Echiquier Bruntrutain 2;Freilos;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;6;Olten 4;Rhy 1;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;6;Court 3;Birseck 3;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;6;Olten 3;Echiquier Bruntrutain 2;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;6;Riehen 5;Freilos;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;7;Rhy 1;Riehen 5;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;7;Birseck 3;Echiquier Bruntrutain 2;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;7;Olten 4;Court 3;-;-;-;-
SMM;2026;3. Liga - Nordwest 2;7;Olten 3;Freilos;-;-;-;-
SGM;2025;3. Regionalliga - Zone K;1;Porrentruy Echiquier Bruntrutain 4;Porrentruy Echiquier Bruntrutain 3;"=""0""";"=""2""";"=""0.5""";"=""3.5"""
SGM;2025;3. Regionalliga - Zone K;1;Olten 3;Basel SG 3;"=""2""";"=""0""";"=""2.5""";"=""1.5"""
SGM;2025;3. Regionalliga - Zone K;1;SG Riehen 3;Rhy Rheinfelden 2;"=""2""";"=""0""";"=""4""";"=""0"""
SGM;2025;3. Regionalliga - Zone K;1;Therwil 2;DSSP 1;"=""0""";"=""2""";"=""1""";"=""3"""
SGM;2025;3. Regionalliga - Zone K;2;Rhy Rheinfelden 2;Olten 3;"=""1""";"=""1""";"=""2""";"=""2"""
SGM;2025;3. Regionalliga - Zone K;2;Therwil 2;SG Riehen 3;"=""0""";"=""2""";"=""0.5""";"=""3.5"""
SGM;2025;3. Regionalliga - Zone K;2;Porrentruy Echiquier Bruntrutain 3;Basel SG 3;"=""0""";"=""2""";"=""0.5""";"=""3.5"""
SGM;2025;3. Regionalliga - Zone K;2;DSSP 1;Porrentruy Echiquier Bruntrutain 4;"=""1""";"=""1""";"=""2""";"=""2"""
SGM;2025;3. Regionalliga - Zone K;3;Rhy Rheinfelden 2;Porrentruy Echiquier Bruntrutain 3;"=""0""";"=""2""";"=""1.5""";"=""2.5"""
SGM;2025;3. Regionalliga - Zone K;3;SG Riehen 3;Porrentruy Echiquier Bruntrutain 4;"=""2""";"=""0""";"=""4""";"=""0"""
SGM;2025;3. Regionalliga - Zone K;3;Olten 3;Therwil 2;"=""2""";"=""0""";"=""4""";"=""0"""
SGM;2025;3. Regionalliga - Zone K;3;Basel SG 3;DSSP 1;"=""2""";"=""0""";"=""3""";"=""1"""
SGM;2025;3. Regionalliga - Zone K;4;Therwil 2;Porrentruy Echiquier Bruntrutain 3;"=""0""";"=""2""";"=""1""";"=""3"""
SGM;2025;3. Regionalliga - Zone K;4;Porrentruy Echiquier Bruntrutain 4;Olten 3;"=""0""";"=""2""";"=""0.5""";"=""3.5"""
SGM;2025;3. Regionalliga - Zone K;4;Basel SG 3;Rhy Rheinfelden 2;"=""1""";"=""1""";"=""2""";"=""2"""
SGM;2025;3. Regionalliga - Zone K;4;DSSP 1;SG Riehen 3;"=""0""";"=""2""";"=""0.5""";"=""3.5"""
SGM;2025;3. Regionalliga - Zone K;5;Porrentruy Echiquier Bruntrutain 4;Rhy Rheinfelden 2;"=""2""";"=""0""";"=""3""";"=""1"""
SGM;2025;3. Regionalliga - Zone K;5;SG Riehen 3;Olten 3;"=""2""";"=""0""";"=""3""";"=""1"""
SGM;2025;3. Regionalliga - Zone K;5;Therwil 2;Basel SG 3;"=""0""";"=""2""";"=""0.5""";"=""3.5"""
SGM;2025;3. Regionalliga - Zone K;5;Porrentruy Echiquier Bruntrutain 3;DSSP 1;"=""0""";"=""2""";"=""1.5""";"=""2.5"""
SGM;2025;3. Regionalliga - Zone K;6;Porrentruy Echiquier Bruntrutain 4;Therwil 2;"=""1""";"=""1""";"=""2""";"=""2"""
SGM;2025;3. Regionalliga - Zone K;6;Olten 3;Porrentruy Echiquier Bruntrutain 3;"=""2""";"=""0""";"=""3.5""";"=""0.5"""
SGM;2025;3. Regionalliga - Zone K;6;Basel SG 3;SG Riehen 3;"=""0""";"=""2""";"=""0""";"=""4"""
SGM;2025;3. Regionalliga - Zone K;6;DSSP 1;Rhy Rheinfelden 2;"=""2""";"=""0""";"=""3""";"=""1"""
SGM;2025;3. Regionalliga - Zone K;7;Basel SG 3;Porrentruy Echiquier Bruntrutain 4;"=""1""";"=""1""";"=""2""";"=""2"""
SGM;2025;3. Regionalliga - Zone K;7;Porrentruy Echiquier Bruntrutain 3;SG Riehen 3;"=""0""";"=""2""";"=""1""";"=""3"""
SGM;2025;3. Regionalliga - Zone K;7;Rhy Rheinfelden 2;Therwil 2;"=""0""";"=""2""";"=""1""";"=""3"""
SGM;2025;3. Regionalliga - Zone K;7;Olten 3;DSSP 1;"=""2""";"=""0""";"=""3""";"=""1"""
SMM;2026;4. Liga - Nordwest 2;1;Olten 5;Therwil 3;"=""2""";"=""0""";"=""2.5""";"=""1.5"""
SMM;2026;4. Liga - Nordwest 2;1;Trümmerfeld 5;Baden-Brugg 9;"=""0""";"=""2""";"=""0""";"=""4"""
SMM;2026;4. Liga - Nordwest 2;1;DSSP 1;Döttingen-Klingnau 2;"=""1""";"=""1""";"=""2""";"=""2"""
SMM;2026;4. Liga - Nordwest 2;1;Rhy 2;Süci 1;"=""2""";"=""0""";"=""2.5""";"=""1.5"""
SMM;2026;4. Liga - Nordwest 2;2;Baden-Brugg 9;DSSP 1;"=""2""";"=""0""";"=""2.5""";"=""1.5"""
SMM;2026;4. Liga - Nordwest 2;2;Therwil 3;Trümmerfeld 5;"=""2""";"=""0""";"=""4""";"=""0"""
SMM;2026;4. Liga - Nordwest 2;2;Rhy 2;Olten 5;"=""0""";"=""2""";"=""1""";"=""3"""
SMM;2026;4. Liga - Nordwest 2;2;Süci 1;Döttingen-Klingnau 2;"=""2""";"=""0""";"=""4""";"=""0"""
SMM;2026;4. Liga - Nordwest 2;3;Trümmerfeld 5;Rhy 2;"=""1""";"=""1""";"=""2""";"=""2"""
SMM;2026;4. Liga - Nordwest 2;3;DSSP 1;Therwil 3;"=""1""";"=""1""";"=""2""";"=""2"""
SMM;2026;4. Liga - Nordwest 2;3;Döttingen-Klingnau 2;Baden-Brugg 9;"=""0""";"=""2""";"=""1""";"=""3"""
SMM;2026;4. Liga - Nordwest 2;3;Olten 5;Süci 1;"=""2""";"=""0""";"=""3.5""";"=""0.5"""
SMM;2026;4. Liga - Nordwest 2;4;Therwil 3;Döttingen-Klingnau 2;"=""0""";"=""2""";"=""1.5""";"=""2.5"""
SMM;2026;4. Liga - Nordwest 2;4;Rhy 2;DSSP 1;"=""0""";"=""2""";"=""1""";"=""3"""
SMM;2026;4. Liga - Nordwest 2;4;Olten 5;Trümmerfeld 5;"=""2""";"=""0""";"=""4""";"=""0"""
SMM;2026;4. Liga - Nordwest 2;4;Süci 1;Baden-Brugg 9;"=""2""";"=""0""";"=""3""";"=""1"""
SMM;2026;4. Liga - Nordwest 2;5;DSSP 1;Olten 5;"=""2""";"=""0""";"=""3""";"=""1"""
SMM;2026;4. Liga - Nordwest 2;5;Döttingen-Klingnau 2;Rhy 2;"=""2""";"=""-1""";"=""4""";"=""0"""
SMM;2026;4. Liga - Nordwest 2;5;Baden-Brugg 9;Therwil 3;"=""0""";"=""2""";"=""1""";"=""3"""
SMM;2026;4. Liga - Nordwest 2;5;Trümmerfeld 5;Süci 1;"=""0""";"=""2""";"=""0""";"=""4"""
SMM;2026;4. Liga - Nordwest 2;6;Rhy 2;Baden-Brugg 9;-;-;-;-
SMM;2026;4. Liga - Nordwest 2;6;Olten 5;Döttingen-Klingnau 2;-;-;-;-
SMM;2026;4. Liga - Nordwest 2;6;Trümmerfeld 5;DSSP 1;-;-;-;-
SMM;2026;4. Liga - Nordwest 2;6;Therwil 3;Süci 1;-;-;-;-
SMM;2026;4. Liga - Nordwest 2;7;Döttingen-Klingnau 2;Trümmerfeld 5;-;-;-;-
SMM;2026;4. Liga - Nordwest 2;7;Baden-Brugg 9;Olten 5;-;-;-;-
SMM;2026;4. Liga - Nordwest 2;7;Therwil 3;Rhy 2;-;-;-;-
SMM;2026;4. Liga - Nordwest 2;7;Süci 1;DSSP 1;-;-;-;-
SGM;2025;2. Regionalliga - Zone D;1;SK Bern 2;Köniz-Wabern 1;"=""1""";"=""1""";"=""2.5""";"=""2.5"""
SGM;2025;2. Regionalliga - Zone D;1;Basel SG 2;Rhy Rheinfelden 1;"=""2""";"=""0""";"=""3""";"=""2"""
SGM;2025;2. Regionalliga - Zone D;1;Trümmerfeld 2;Kirchberg 2;"=""2""";"=""0""";"=""3.5""";"=""1.5"""
SGM;2025;2. Regionalliga - Zone D;1;SK Bümpliz 1;Langenthal 1;"=""2""";"=""0""";"=""3""";"=""2"""
SGM;2025;2. Regionalliga - Zone D;2;SK Bern 2;Kirchberg 2;"=""2""";"=""0""";"=""3.5""";"=""1.5"""
SGM;2025;2. Regionalliga - Zone D;2;Langenthal 1;Basel SG 2;"=""2""";"=""0""";"=""4""";"=""1"""
SGM;2025;2. Regionalliga - Zone D;2;Köniz-Wabern 1;SK Bümpliz 1;"=""0""";"=""2""";"=""1""";"=""4"""
SGM;2025;2. Regionalliga - Zone D;2;Trümmerfeld 2;Rhy Rheinfelden 1;"=""2""";"=""0""";"=""3.5""";"=""1.5"""
SGM;2025;2. Regionalliga - Zone D;3;Basel SG 2;SK Bern 2;"=""2""";"=""0""";"=""3""";"=""2"""
SGM;2025;2. Regionalliga - Zone D;3;Kirchberg 2;Köniz-Wabern 1;"=""2""";"=""0""";"=""3""";"=""2"""
SGM;2025;2. Regionalliga - Zone D;3;Rhy Rheinfelden 1;Langenthal 1;"=""2""";"=""0""";"=""3.5""";"=""1.5"""
SGM;2025;2. Regionalliga - Zone D;3;SK Bümpliz 1;Trümmerfeld 2;"=""2""";"=""0""";"=""3.5""";"=""1.5"""
SGM;2025;2. Regionalliga - Zone D;4;SK Bern 2;Trümmerfeld 2;"=""2""";"=""0""";"=""3""";"=""2"""
SGM;2025;2. Regionalliga - Zone D;4;Rhy Rheinfelden 1;SK Bümpliz 1;"=""1""";"=""1""";"=""2.5""";"=""2.5"""
SGM;2025;2. Regionalliga - Zone D;4;Langenthal 1;Köniz-Wabern 1;"=""2""";"=""0""";"=""3""";"=""2"""
SGM;2025;2. Regionalliga - Zone D;4;Basel SG 2;Kirchberg 2;"=""2""";"=""0""";"=""4""";"=""1"""
SGM;2025;2. Regionalliga - Zone D;5;Rhy Rheinfelden 1;SK Bern 2;"=""0""";"=""2""";"=""1.5""";"=""3.5"""
SGM;2025;2. Regionalliga - Zone D;5;Trümmerfeld 2;Köniz-Wabern 1;"=""2""";"=""0""";"=""3.5""";"=""1.5"""
SGM;2025;2. Regionalliga - Zone D;5;SK Bümpliz 1;Basel SG 2;"=""2""";"=""0""";"=""4""";"=""1"""
SGM;2025;2. Regionalliga - Zone D;5;Kirchberg 2;Langenthal 1;"=""0""";"=""2""";"=""2""";"=""3"""
SGM;2025;2. Regionalliga - Zone D;6;SK Bern 2;SK Bümpliz 1;"=""0""";"=""2""";"=""2""";"=""3"""
SGM;2025;2. Regionalliga - Zone D;6;Trümmerfeld 2;Langenthal 1;"=""2""";"=""0""";"=""3""";"=""2"""
SGM;2025;2. Regionalliga - Zone D;6;Kirchberg 2;Rhy Rheinfelden 1;"=""2""";"=""0""";"=""3.5""";"=""1.5"""
SGM;2025;2. Regionalliga - Zone D;6;Köniz-Wabern 1;Basel SG 2;"=""0""";"=""2""";"=""2""";"=""3"""
SGM;2025;2. Regionalliga - Zone D;7;Langenthal 1;SK Bern 2;"=""2""";"=""0""";"=""4""";"=""1"""
SGM;2025;2. Regionalliga - Zone D;7;Kirchberg 2;SK Bümpliz 1;"=""0""";"=""2""";"=""0.5""";"=""4.5"""
SGM;2025;2. Regionalliga - Zone D;7;Basel SG 2;Trümmerfeld 2;"=""2""";"=""0""";"=""3""";"=""2"""
SGM;2025;2. Regionalliga - Zone D;7;Köniz-Wabern 1;Rhy Rheinfelden 1;"=""0""";"=""2""";"=""1.5""";"=""3.5"""
